Include,ID,Cage,Sex,Generation,Parents,Line,X1A GT,DOB,Age,DOW,Start Age,TCT_Date,TCT_Lane,TCT_Time,StimID,StimSide,StimSide_Video,StimAge,TCT_filename,TCT_start,TCT_stop,OFT_Date,OFT_Time,OFT_filename,OFT_start,OFT_stop,Sac_Date,Repeat_Genotyping,Notes
TRUE,E0434,4876758,M,F9,N59,X1,Het,8/9/23,5m 13d,9/5/23,8w 0d,10/4/23,3,2:37 PM,E0354,Green,Right,9w 5d,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/Scn2aX1_TCT/20231004_3TopE0434_1BottomE0439,1929,2529,10/6/23,2:06 PM,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/SCN2AX1_OFT/20231006_E0434,19,619,10/6/23,Het,
TRUE,E0435,4876758,M,F9,N59,X1,Het,8/9/23,5m 13d,9/5/23,8w 0d,10/4/23,2,2:37 PM,E0351,Green,Right,9w 5d,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/Scn2aX1_TCT/20231004_2E0435,1915,2515,10/6/23,1:51 PM,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/SCN2AX1_OFT/20231006_E0435,30,630,10/6/23,Het,
TRUE,E0439,4876758,M,F9,N59,X1,Het,8/9/23,5m 13d,9/5/23,8w 0d,10/4/23,1,2:37 PM,E0353,Orange,Left,9w 5d,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/Scn2aX1_TCT/20231004_3TopE0434_1BottomE0439,1924,2524,10/6/23,2:22 PM,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/SCN2AX1_OFT/20231006_E0439,29,629,10/6/23,Het,
TRUE,E0484,4876759,F,F8,N56,X1,WT,8/24/23,4m 29d,9/20/23,8w 5d,10/24/23,1,1:54 PM,E0601,Green,Right,7w 0d,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/Scn2aX1_TCT/20231024_3TopE0492_1BottomE0484,1706,2306,10/26/23,1:42 PM,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/SCN2AX1_OFT/20231026_E0484,37,637,10/26/23,WT,
TRUE,E0490,4876759,F,F9,N47,X1,Het,8/24/23,4m 29d,9/20/23,8w 5d,10/24/23,2,1:54 PM,E0604,Orange,Left,7w 0d,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/Scn2aX1_TCT/20231024_2BottomE0490,1688,2288,10/26/23,2:12 PM,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/SCN2AX1_OFT/20231026_E0490,40,640,10/26/23,Het,
TRUE,E0492,4876759,F,F9,N47,X1,Het,8/24/23,4m 29d,9/20/23,8w 5d,10/24/23,3,1:54 PM,E0603,Orange,Left,7w 0d,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/Scn2aX1_TCT/20231024_3TopE0492_1BottomE0484,1708,2308,10/26/23,1:57 PM,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/SCN2AX1_OFT/20231026_E0492,38,638,10/26/23,Het,
FALSE,E0485,4876760,M,F8,N56,X1,Het,8/24/23,4m 29d,9/20/23,N/A,N/A,,,TBD,,,,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/Scn2aX1_TCT/,,,N/A,,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/SCN2AX1_OFT/,,,12/4/23,,Not ran due to stim logistics
FALSE,E0486,4876760,M,F8,N56,X1,Het,8/24/23,4m 29d,9/20/23,N/A,N/A,,,TBD,,,,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/Scn2aX1_TCT/,,,N/A,,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/SCN2AX1_OFT/,,,12/4/23,,Not ran due to stim logistics
TRUE,E0487,4876760,M,F8,N56,X1,Het,8/24/23,4m 29d,9/20/23,8w 5d,10/24/23,4,3:03 PM,E0478,Orange,Left,9w 4d,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/Scn2aX1_TCT/20231024_4TopE0487_2BottomE0489,2018,2618,10/26/23,2:32 PM,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/SCN2AX1_OFT/20231026_E0487,42,642,10/26/23,Het,
TRUE,E0488,4876760,M,F9,N47,X1,Het,8/24/23,4m 29d,9/20/23,8w 5d,10/24/23,1,3:03 PM,E0479,Orange,Left,9w 4d,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/Scn2aX1_TCT/20231024_3TopE0491_1BottomE0488,1999,2599,10/26/23,3:22 PM,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/SCN2AX1_OFT/20231026_E0488,28,628,10/26/23,Het,
TRUE,E0489,4876760,M,F9,N47,X1,WT,8/24/23,4m 29d,9/20/23,8w 5d,10/24/23,2,3:03 PM,E0477,Green,Right,9w 4d,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/Scn2aX1_TCT/20231024_4TopE0487_2BottomE0489,2012,2612,10/26/23,3:06 PM,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/SCN2AX1_OFT/20231026_E0489,26,626,10/26/23,WT,
TRUE,E0491,4876760,M,F9,N47,X1,WT,8/24/23,4m 29d,9/20/23,8w 5d,10/24/23,3,3:03 PM,E0476,Green,Right,9w 4d,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/Scn2aX1_TCT/20231024_3TopE0491_1BottomE0488,2003,2603,10/26/23,2:52 PM,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/SCN2AX1_OFT/20231026_E0491,31,631,10/26/23,WT,
TRUE,E0596,4876762,F,F9,N59,X1,WT,8/31/23,4m 22d,9/27/23,8w 5d,10/31/23,3,2:09 PM,E0568,Orange,Left,6w 5d,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/Scn2aX1_TCT/20231031_3TopE0596_1BottomE0598,1986,2586,11/2/23,2:10 PM,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/SCN2AX1_OFT/20231102_E0596,36,636,11/2/23,WT,
TRUE,E0598,4876762,F,F9,N59,X1,WT,8/31/23,4m 22d,9/27/23,8w 5d,10/31/23,1,2:09 PM,E0573,Green,Right,6w 4d,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/Scn2aX1_TCT/20231031_3TopE0596_1BottomE0598,1984,2584,11/2/23,2:24 PM,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/SCN2AX1_OFT/20231102_E0598,26,626,11/2/23,WT,
TRUE,E0946,4876762,F,F9,N59,X1,Het,8/31/23,4m 22d,9/27/23,8w 5d,10/31/23,4,2:09 PM,E0572,Green,Right,6w 4d,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/Scn2aX1_TCT/20231031_4TopE0946_2BottomE0948,1966,2566,11/2/23,1:38 PM,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/SCN2AX1_OFT/20231102_E0946,32,632,11/2/23,Het,Re-tagged (formerly E05995-Het)
TRUE,E0948,4876762,F,F9,N59,X1,WT,8/31/23,4m 22d,9/27/23,8w 5d,10/31/23,2,2:09 PM,E0570,Orange,Left,6w 5d,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/Scn2aX1_TCT/20231031_4TopE0946_2BottomE0948,1962,2562,11/2/23,1:54 PM,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/SCN2AX1_OFT/20231102_E0948,29,629,11/2/23,WT,Re-tagged (formerly E0593 or 94-WT)
TRUE,E0597,4876761,M,F9,N59,X1,Het,8/31/23,4m 22d,9/27/23,8w 5d,10/31/23,2,3:10 PM,E0566,Green,Right,6w 5d,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/Scn2aX1_TCT/20231031_2E0597,1337,1937,11/2/23,2:58 PM,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/SCN2AX1_OFT/20231102_E0597,56,656,11/2/23,Het,
TRUE,E0599,4876761,M,F9,N59,X1,WT,8/31/23,4m 22d,9/27/23,8w 5d,10/31/23,1,3:10 PM,E0567,Orange,Left,6w 5d,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/Scn2aX1_TCT/20231031_3TopE0947_1BottomE0599,1327,1927,11/2/23,3:13 PM,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/SCN2AX1_OFT/20231102_E0599,27,627,11/2/23,WT,
TRUE,E0947,4876761,M,F9,N59,X1,WT,8/31/23,4m 22d,9/27/23,8w 5d,10/31/23,3,3:10 PM,E0579,Green,Right,6w 4d,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/Scn2aX1_TCT/20231031_3TopE0947_1BottomE0599,1351,1951,11/2/23,2:58 PM,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/SCN2AX1_OFT/20231102_E0947,74,674,11/2/23,WT,Re-tagged (formerly E0593 or 94-WT)
TRUE,E0701,4876764,F,F8,N56,X1,WT,9/19/23,4m 3d,10/9/23,8w 6d,11/20/23,1,3:36 PM,E0571,Orange,Left,9w 3d,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/Scn2aX1_TCT/20231120_1E0701,1126,1726,11/22/23,2:35 PM,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/SCN2AX1_OFT/20231122_E0701,41,641,11/22/23,WT,
FALSE,E0702,4876764,F,F8,N56,X1,_Het,9/19/23,4m 3d,10/9/23,8w 6d,11/20/23,2,2:48 PM,E0569,Green,Right,9w 4d,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/Scn2aX1_TCT/,,,11/22/23,2:19 PM,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/SCN2AX1_OFT/,,,11/22/23,_Het,"Climber in TCT, TCT recording stopped and missed 5 min"
TRUE,E0729,4876764,F,F9,N59,X1,Het,9/22/23,4m 0d,10/12/23,8w 3d,11/20/23,2,3:36 PM,E0573,Orange,Left,9w 3d,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/Scn2aX1_TCT/20231120_2E0729,1126,1726,11/22/23,1:37 PM,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/SCN2AX1_OFT/20231122_E0729,9,609,11/22/23,Het,
TRUE,E0730,4876764,F,F9,N59,X1,WT,9/22/23,4m 0d,10/12/23,8w 3d,11/20/23,4,2:48 PM,E0570,Green,Right,9w 4d,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/Scn2aX1_TCT/20231120_4TopE0730_1BottomE0731,1797,2397,11/22/23,2:07 PM,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/SCN2AX1_OFT/20231122_E0730,18,618,11/22/23,WT,
TRUE,E0731,4876764,F,F9,N59,X1,WT,9/22/23,4m 0d,10/12/23,8w 3d,11/20/23,1,2:48 PM,E0568,Orange,Left,9w 4d,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/Scn2aX1_TCT/20231120_4TopE0730_1BottomE0731,1795,2395,11/22/23,1:51 PM,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/SCN2AX1_OFT/20231122_E0731,33,633,11/22/23,WT,
TRUE,E0829,4876768,F,F9,N47,X1,WT,10/11/23,3m 11d,11/6/23,8w 2d,12/8/23,2,1:46 PM,E0819,Orange,Left,8w 5d,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/Scn2aX1_TCT/20231208_2E0829,1688,2288,12/10/23,1:11 PM,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/SCN2AX1_OFT/20231210_E0829,40,640,12/11/23,WT,
TRUE,E0834,4876768,F,F9,N47,X1,Het,10/11/23,3m 11d,11/6/23,8w 2d,12/8/23,1,1:46 PM,E0820,Green,Right,8w 5d,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/Scn2aX1_TCT/20231208_1E0834,1699,2299,12/10/23,1:27 PM,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/SCN2AX1_OFT/20231210_E0834,34,634,12/11/23,Het,
FALSE,E0836,4876766,F,F9,N59,X1,WT,10/13/23,3m 9d,11/6/23,N/A,N/A,,,,,,,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/Scn2aX1_TCT/,,,N/A,,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/SCN2AX1_OFT/,,,12/15/23,,
TRUE,E0837,4876766,F,F9,N59,X1,WT,10/13/23,3m 9d,11/6/23,8w 5d,12/13/23,1,2:13 PM,E0814,Green,Right,9w 3d,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/Scn2aX1_TCT/20231213_1E0837,1398,1998,12/15/23,2:01 PM,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/SCN2AX1_OFT/20231215_E0837,30,630,12/15/23,WT,
TRUE,E0838,4876766,F,F9,N59,X1,WT,10/13/23,3m 9d,11/6/23,8w 5d,12/13/23,2,2:13 PM,E0815,Orange,Left,9w 3d,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/Scn2aX1_TCT/20231213_2E0838,1401,2001,12/15/23,1:46 PM,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/SCN2AX1_OFT/20231215_E0838,39,639,12/15/23,WT,
FALSE,E0840,4876766,F,F9,N59,X1,WT,10/13/23,3m 9d,11/6/23,N/A,N/A,,,TBD,,,,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/Scn2aX1_TCT/,,,N/A,,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/SCN2AX1_OFT/,,,12/15/23,,
TRUE,E0831,4876767,M,F9,N47,X1,Het,10/11/23,3m 11d,11/6/23,8w 2d,12/8/23,1,2:49 PM,E0804,Green,Right,8w 5d,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/Scn2aX1_TCT/20231208_3TopE0833_1BottomE0831,1773,2373,12/10/23,2:15 PM,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/SCN2AX1_OFT/20231210_E0831,28,628,12/11/23,Het,
TRUE,E0833,4876767,M,F9,N47,X1,Het,10/11/23,3m 11d,11/6/23,8w 2d,12/8/23,3,2:49 PM,E0803,Orange,Left,8w 5d,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/Scn2aX1_TCT/20231208_3TopE0833_1BottomE0831,1778,2378,12/10/23,1:45 PM,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/SCN2AX1_OFT/20231210_E0833,19,619,12/11/23,Het,
TRUE,E0835,4876767,M,F9,N47,X1,WT,10/11/23,3m 11d,11/6/23,8w 2d,12/8/23,2,2:49 PM,E0792,Green,Right,8w 3d,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/Scn2aX1_TCT/20231208_2E0835,1773,2373,12/10/23,2:01 PM,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/SCN2AX1_OFT/20231210_E0835,36,636,12/11/23,WT,
TRUE,E0839,4876765,M,F9,N59,X1,WT,10/13/23,3m 9d,11/6/23,8w 5d,12/13/23,1,3:01 PM,E0795,Orange,Left,9w 3d,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/Scn2aX1_TCT/20231213_1E0839,1090,1690,12/15/23,2:17 PM,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/SCN2AX1_OFT/20231215_E0839,86,686,,,
FALSE,E0842,4876765,M,F9,N59,X1,Het,10/13/23,3m 9d,11/6/23,N/A,N/A,,,,,,,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/Scn2aX1_TCT/,,,N/A,,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/SCN2AX1_OFT/,,,,,To be used as a breeder
TRUE,E0843,4876765,M,F9,N59,X1,Het,10/13/23,3m 9d,11/6/23,8w 5d,12/13/23,2,3:01 PM,E0799,Green,Right,9w 3d,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/Scn2aX1_TCT/20231213_2E0843,1091,1691,12/15/23,2:32 PM,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/SCN2AX1_OFT/20231215_E0843,22,622,,,Formerly E0841
TRUE,E1011,4876771,F,F8,N56,X1,Het,10/31/23,2m 22d,11/21/23,9w 0d,1/2/24,2,1:28 PM,E1054,Orange,Left,9w 1d,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/Scn2aX1_TCT/20240102_2E1011,1382,1982,1/4/24,1:54 PM,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/SCN2AX1_OFT/20240104_E1011,22,622,1/4/24,Het,
TRUE,E1012,4876771,F,F8,N56,X1,Het,10/31/23,2m 22d,11/21/23,9w 0d,1/2/24,1,1:28 PM,E1046,Green,Right,9w 3d,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/Scn2aX1_TCT/20240102_1E1012,1395,1995,1/4/24,1:40 PM,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/SCN2AX1_OFT/20240104_E1012,29,629,1/4/24,Het,
FALSE,E1014,4876771,F,F9,N47,X1,WT,11/1/23,2m 21d,11/21/23,N/A,N/A,,,,,,,,,,N/A,,,,,1/4/24,,
TRUE,E1016,4876770,M,F9,N47,X1,WT,11/1/23,2m 21d,11/21/23,8w 6d,1/2/24,2,2:17 PM,E1090,Green,Right,8w 6d,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/Scn2aX1_TCT/20240102_2E1016,1143,1743,1/4/24,2:25 PM,/Users/joshsteighner/Library/CloudStorage/Box-Box/Scn2a_X1Behavior_Nov22/June2023_ControlBehaviors/SCN2AX1_OFT/20240104_E1016,50,650,1/4/24,WT,
